jgene,Subject_100,Subject_101,Subject_102,Subject_103,Subject_104,Subject_105,Subject_106,Subject_12,Subject_13,Subject_14,Subject_15,Subject_151,Subject_152,Subject_153,Subject_154,Subject_155,Subject_156,Subject_157,Subject_158,Subject_16,Subject_17,Subject_18,Subject_19,Subject_22,Subject_24,Subject_26,Subject_27,Subject_39,Subject_40,Subject_41,Subject_42,Subject_43,Subject_44,Subject_45,Subject_46,Subject_47,Subject_48,Subject_49,Subject_50,Subject_51,Subject_52,Subject_53,Subject_54,Subject_55,Subject_56,Subject_57,Subject_58,Subject_59,Subject_60,Subject_61,Subject_62,Subject_63,Subject_64,Subject_65,Subject_66,Subject_67,Subject_68,Subject_69,Subject_70,Subject_71,Subject_72,Subject_73,Subject_74,Subject_75,Subject_76,Subject_77,Subject_78,Subject_79,Subject_80,Subject_81,Subject_82,Subject_83,Subject_84,Subject_85,Subject_86,Subject_87,Subject_88,Subject_89,Subject_90,Subject_91,Subject_92,Subject_93,Subject_94,Subject_95,Subject_96,Subject_97,Subject_98,Subject_99
TRBJ1-1,0.162073831983956,0.113096522815826,0.114059077046434,0.119884177785054,0.0973425663069502,0.123541997764911,0.125389932798514,0.081369593757105,0.119424662199385,0.086839530332681,0.112964610985931,0.132272508289172,0.112659984179882,0.117915282982461,0.135321254262218,0.0753319824092438,0.0817781670372117,0.124503681610588,0.14038064626655,0.0906861757158021,0.12493686305969,0.0936304182509506,0.0992002613993632,0.103902655733508,0.108869977236873,0.0841617386266489,0.10635441709481,0.11433158986445,0.102227941508473,0.116863846177768,0.143160668826435,0.0909524620889419,0.120758168693829,0.0978779619244546,0.08373193189867,0.120921293618662,0.0847745413158646,0.179134928167563,0.109418075353151,0.0929085475558808,0.0816130221572938,0.118643469894973,0.102935443045567,0.120028832607057,0.102488938894041,0.100169168957496,0.155942279833688,0.125839641272833,0.143884218454211,0.097074284262556,0.0962765438798048,0.168840232227569,0.0705304527120971,0.0967179434056732,0.137119345877667,0.0734208095376622,0.0993801864287215,0.0978787269901543,0.0951333516634589,0.111047087156302,0.086126729238735,0.113167397020158,0.0814955018109592,0.0940274201323974,0.115046886613171,0.0783864969246173,0.143230068156152,0.102030070454376,0.0821761374017906,0.10921128846591,0.11826380118363,0.108889252601885,0.102991554880727,0.142536030150554,0.0932387886052743,0.121258473152704,0.0661366996687316,0.117809927796863,0.105194047901864,0.107266247425152,0.0992087936155941,0.131720845870476,0.110265838469337,0.107254133952466,0.1739599609375,0.117163221447456,0.0729617818184232,0.100027455425709
TRBJ1-2,0.0985982746363048,0.092528010965834,0.122471041365387,0.10877261193419,0.088829240470843,0.101887470587244,0.114282155656078,0.0609034302184866,0.080170678205475,0.0526567684846422,0.0953079734156363,0.11244934395103,0.0965481022342674,0.0969035940245153,0.126573956452943,0.0645964473570751,0.0599833816164747,0.118818156398546,0.127654367316305,0.0918147983930563,0.116799625635083,0.0850038022813688,0.0993038648055244,0.082119165405438,0.0948900328072886,0.0715572606456262,0.0853398093796908,0.101520883725097,0.10147002857493,0.102540750185481,0.107777894732738,0.086767762821605,0.10772795326381,0.0935440751067807,0.0678477426350353,0.108239348370927,0.077382210210611,0.0938810607351164,0.0781130266737088,0.0891272527673589,0.0688780531076485,0.102596007375932,0.097948068929529,0.117007961731267,0.0911678399294522,0.11006555297103,0.126329652136286,0.113981115199683,0.108856636879923,0.100713215597341,0.0846139823556594,0.0998355911013684,0.0935728398569159,0.0750548160425407,0.131411499554484,0.0565175896580058,0.0823258894674773,0.095090276097645,0.0835091810740349,0.137098680614039,0.0880307718892903,0.105833479404032,0.0642131090080617,0.119927804625678,0.111134847412669,0.0740256778019616,0.106989836164188,0.102376332823956,0.081609720445825,0.0939825643206464,0.0894245723172628,0.0951280644157111,0.0965667390295014,0.133187452095487,0.121293717388239,0.135692970494654,0.0685042391121259,0.110659505491847,0.131814353281645,0.120689968357075,0.0728717506467907,0.127615224543742,0.107739407495615,0.0809173563972139,0.0645263671875,0.107598035426233,0.148782900633613,0.0897411850414142
TRBJ1-3,0.050363783632743,0.0295350501527871,0.0329605818931573,0.0362353687484653,0.0343980898184876,0.0369519680573261,0.033142164827637,0.0279470762099643,0.0300756900414342,0.0191546839104909,0.0284920379452029,0.0334400770822116,0.0371124395399199,0.0300297555575867,0.0298968153150142,0.0224411485729068,0.0237485683487166,0.0349333581880884,0.0415317218818577,0.0286186464589464,0.0368088362004932,0.0340167300380228,0.0301764844176492,0.0287560143667126,0.0310986893460923,0.0271165843560341,0.0280886307148465,0.0359995313996678,0.0272171372177177,0.0346304383560427,0.0242252708481964,0.0269074799795536,0.0334816131579288,0.0319924391950458,0.0245061604246277,0.0373228744939271,0.031367358817227,0.0308907871147778,0.035615827764226,0.0269645961028268,0.0287382290243084,0.0334706967048825,0.034446770352865,0.037931260443629,0.0317556369828648,0.028933178261789,0.0354260342784039,0.036920204815444,0.024801025912431,0.0342074489746358,0.0354328205084724,0.0250423866691785,0.0576167292982252,0.0322249270558174,0.0280046124010692,0.020108299011427,0.025724147958277,0.0289424799990158,0.027253363191562,0.0340632064181552,0.0307942897920913,0.0281402278702892,0.0226288117770768,0.0304449304502216,0.0383370940536114,0.0269806353342328,0.0307185054451147,0.034494600024038,0.0276082587246483,0.033067667739594,0.0306397236110096,0.0470986935215227,0.0309507974551706,0.0324499708105146,0.0326470173459315,0.0445287642536709,0.0188654526398533,0.03689725434536,0.0318553873399132,0.0307746522366208,0.0325961972814258,0.0452883777171621,0.0374257760326988,0.0474806373287489,0.0229443359375,0.0382865123661982,0.0396567025116576,0.0379265445036141
TRBJ1-4,0.0224990538442221,0.0314093898740216,0.0352729771910482,0.0390746500777605,0.0397406690146518,0.0391421302978059,0.0399925268777635,0.0342765150681716,0.0264931838897403,0.0280247596358377,0.0399854202563763,0.0409357553773344,0.0464035167343128,0.0434451451725924,0.0388001158877672,0.0318509097180305,0.03177704417346,0.0518035231615248,0.0519166918201026,0.0441372082711919,0.043293371364055,0.0387102661596958,0.0338464358435907,0.0364815107637399,0.0345268053561583,0.034909599609996,0.0400929101123138,0.0404305610110741,0.0404725506511601,0.0403881096978555,0.0274727202554296,0.0378735730107344,0.0388878581691253,0.0362218950050649,0.0339501044954923,0.0441458212839792,0.0309298989022722,0.0274228744331687,0.0305998149906427,0.0297472021467996,0.0304680114986181,0.0355391645955263,0.0380575932246088,0.0460469840437732,0.0367578416019218,0.0347060689363502,0.0474103060974921,0.0464106273523462,0.0258595069920817,0.0402673531071019,0.0379001454110724,0.0251023274134713,0.0229692093788069,0.0365756806684967,0.0360815556370879,0.023252134592909,0.0273019531397246,0.0347285156009727,0.0336600733425867,0.0329033878521933,0.031267900400969,0.0419141104294478,0.0290033882462905,0.032599621385822,0.0534422829574838,0.0313414544568886,0.0409731404606925,0.0447966209371405,0.0366800657774529,0.0334709319803207,0.0347678144603213,0.0314087567113071,0.0344392716868906,0.0486213428751842,0.0542853617261317,0.0420900772712002,0.0217383167075293,0.0403165540340747,0.0380666479493769,0.0543124838788196,0.0243692935266177,0.0461038778437052,0.0394292197029432,0.0486751856512415,0.023212890625,0.0365703448311405,0.0379481822628156,0.0380108136320266
TRBJ1-5,0.041231169731504,0.0691877482553494,0.0653663320971922,0.0718107964312024,0.0711226827609985,0.0643065328608573,0.0753709669201112,0.0666094596874152,0.06146351886909,0.139506934399728,0.0733815537841062,0.0759203105959702,0.0797684038538843,0.0688236907046888,0.0576653072140135,0.0555747175993792,0.0613532753935637,0.0637710877062168,0.0808037134629347,0.064741290123208,0.0763177050836379,0.0639361216730038,0.054583056061397,0.0625644732581867,0.0697032059435234,0.0658273101733116,0.0719483868868197,0.0679677217065322,0.0567983177558037,0.0686433486900854,0.0708162286703391,0.0573112966433805,0.071463396744172,0.0593533632006015,0.0593481929712572,0.0865384615384616,0.0632796888844401,0.0878700120869939,0.0638190693968268,0.0617204891287775,0.0495067070652189,0.0630064940270985,0.0752664631330186,0.0728842436355296,0.0677106931626401,0.0637978430957919,0.0757398453520968,0.0836069608437532,0.0638915464001466,0.0581257635591289,0.0692249971384118,0.0477770546830847,0.042210657265476,0.067993473869581,0.05564232926254,0.0481323268976569,0.05927808681698,0.0642327864415676,0.061903925849121,0.0466328324690099,0.0522347700588493,0.0816652059596845,0.056763640612221,0.0749791291873905,0.079197653666591,0.0677782631723413,0.0664196171678594,0.0707262352409242,0.061520190023753,0.0713484423002192,0.110534720845032,0.0615562851210362,0.0884039602966458,0.071810105518997,0.072680157946693,0.0703345783680164,0.0976025153936853,0.0790202308564916,0.0722415394250912,0.07924536527416,0.0520444061161075,0.109994094654256,0.0714682265098241,0.158552363397905,0.280400390625,0.057313811283415,0.04398997018942,0.0631311689759126
TRBJ1-6,0.0407289113372453,0.0330110983630766,0.0414656147535115,0.0395094949660309,0.0471455224481773,0.0389174982731413,0.0441197284765587,0.0324906305235905,0.0283295104353429,0.0197715476899515,0.0523545339215723,0.0450874259642361,0.0445038059053127,0.0423178868476373,0.0418198836665107,0.0324113994998707,0.0296099171326551,0.0487091061608724,0.052185901567127,0.0293105996479772,0.041079864515554,0.0402768060836502,0.0387436891579035,0.0342978909244242,0.0442980277415375,0.0294763913323018,0.0448848589873449,0.0402513902958384,0.0303455437944669,0.0420763158011649,0.0326772160041168,0.0357062531947521,0.0412565960072313,0.0354438839980367,0.033477907291949,0.0469322344322344,0.0366354142337593,0.0331053839851387,0.032520126636768,0.0341688775043454,0.0309281779901813,0.037094524172212,0.0423102068725595,0.0445267193080174,0.0452813550044853,0.0438570522309156,0.0477715274772826,0.0512939029587788,0.0309035764447249,0.0387916057998737,0.0479347812262859,0.0290070387559727,0.042550718648708,0.042942110806098,0.0335709418732638,0.0433196045708103,0.0334031588413633,0.0416381328860877,0.0402920452776186,0.0336753689996011,0.0298502686460177,0.0348536371603856,0.0244888421544573,0.0370824367702564,0.0527925017023379,0.0329999574742816,0.0560231083972238,0.0546464975990568,0.0331902064681162,0.0384127519484995,0.0358898619098813,0.0340692103042031,0.0443776587067548,0.0629500045670624,0.039826011846002,0.0424616114306041,0.0288175403791806,0.0482787912022924,0.0421657344016586,0.048568802473307,0.0342867507152341,0.0618057703664126,0.0469320760182161,0.066192864611949,0.0208544921875,0.0407396527466411,0.0270486197944907,0.035384878856332
TRBJ2-1,0.0747233157542895,0.106216370748183,0.0799780930971779,0.0801598182859949,0.0915617538353467,0.0737186146943039,0.0810720533535636,0.118128745040228,0.114396466239971,0.0861801242236025,0.0913695491640316,0.080865474537365,0.0930339613833525,0.101839157501346,0.0796394107552762,0.131973786324049,0.135945114419816,0.0765775002330133,0.0791639813674224,0.120258777056713,0.0859887987640016,0.096796958174905,0.0879353833525265,0.127139382713261,0.095588757089595,0.120032217723987,0.123179120445513,0.108529215163355,0.116215466584103,0.0828820343772075,0.0984409903746068,0.115890270914977,0.0877123342638576,0.0918784005346868,0.115391005517712,0.0812126470021207,0.0998817375314656,0.0985941771515255,0.0985098503744455,0.121054798280121,0.126177097569157,0.0848103904433577,0.0941393105847493,0.0690377117394581,0.0899514983807453,0.101691689574963,0.0798487385472127,0.0709020403508035,0.100563844728968,0.0720613014223215,0.089404492905381,0.0886266719186176,0.0715334185639079,0.120172303654978,0.0676712615965197,0.139349491423351,0.11803382857389,0.0895953875741708,0.0921420076787767,0.0861848617821314,0.140367944241951,0.104042068361087,0.107353662811076,0.127306077815796,0.0584625107369676,0.114568151329702,0.0995102517975405,0.0938685805532185,0.122903343687192,0.123296208582929,0.0608567223689292,0.071514533008559,0.0824497120126488,0.0689546987128827,0.0913966647863489,0.0766229916404814,0.151120136250491,0.0836115546523443,0.075705677817852,0.0756087902666216,0.0794799665995921,0.0694089030117263,0.0851061261928134,0.0592098966733424,0.0725390625,0.085483696408417,0.0372134300314483,0.114747369308096
TRBJ2-2,0.0471167892247889,0.0555524001014794,0.0499241133431652,0.0561461488090366,0.0558586311010289,0.0509633905957803,0.0503869605339885,0.0597886275458939,0.0523553392029007,0.0884667744405684,0.0539781871887603,0.0561821634029529,0.0526667271807773,0.0525139891742579,0.0420984600298634,0.066159351556437,0.0606121853174336,0.0445894305154255,0.0545353684502492,0.0515874615394951,0.047319279793208,0.0526904942965779,0.0703267890515108,0.0514731904191797,0.0519512421461753,0.0592707207302684,0.0637231571539566,0.0518079014285419,0.0592268643045585,0.0516502214659849,0.0548908615292251,0.0573317430567388,0.0516505658651502,0.0474325636768069,0.0646210617441566,0.0564813475997687,0.0510048602538009,0.0518645607716207,0.0937167036583616,0.0436907266794743,0.0559074566376244,0.0502365108634651,0.0497957665800949,0.0472985813046755,0.049973392528622,0.052986889405794,0.0453784358361711,0.042376747564365,0.0569666374905856,0.0871438125091067,0.0539716723969086,0.0666284187631656,0.150487923516321,0.0588948740525889,0.0429582263221343,0.0577577715513502,0.0479642005158831,0.0599927008197226,0.057809461657463,0.0449189604479707,0.0478506718550496,0.0477055214723926,0.0542166140904311,0.0476765788328806,0.0551067911042276,0.0588130685398601,0.059337279315374,0.0503883289549744,0.0626164809062671,0.054975914126713,0.0496571231747158,0.0498650517809635,0.0528666976195555,0.0432798656092263,0.0535978705401213,0.0443548546471414,0.0651166925567554,0.0641548792223781,0.0700472971513725,0.0485470048209141,0.0555418668637838,0.0473868845083097,0.053405049643564,0.0455736135972919,0.0295849609375,0.0513561846451965,0.100842530646029,0.0572296116280524
TRBJ2-2P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.71393766527023e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00139865177173e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5056967572305e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRBJ2-3,0.0653501837487576,0.0715316195431155,0.075807906530548,0.0813569206842924,0.0814920554107309,0.0992592758986685,0.0727836814185345,0.0785679186194049,0.0675601230004908,0.0657066280949545,0.0661816219491413,0.0668943236886105,0.060550851303863,0.0631061552366735,0.071126117091217,0.0745559196343882,0.0775000561431876,0.0607139528381023,0.0612982436103474,0.0899875045346447,0.0681804676590308,0.0756653992395437,0.0798981498822507,0.0669618318311535,0.0695394424398579,0.073457823749267,0.0742711396946658,0.0688704664640659,0.056556430649354,0.0701138650590206,0.0797437906662145,0.0703084000681547,0.065358179911895,0.0760988752780476,0.0777638839094431,0.0693018604202815,0.0790282458228139,0.0619397597202956,0.0697906585539351,0.0732168450583966,0.0694990006625289,0.0722969614367033,0.0684376893132839,0.064879918744471,0.0676742029161789,0.0666472827236202,0.0590596955957331,0.0614326276044637,0.0773342561117105,0.0687399359637751,0.0759995421458944,0.08082153071535,0.0563296615313093,0.0910464253034305,0.0704334608732114,0.0815866162428103,0.0609474370089553,0.0740702771638174,0.081687210762213,0.0907798117695729,0.0712079950590893,0.0678527607361963,0.0670779296646804,0.0591143720531,0.073144896769341,0.0747950067074656,0.0556485616838712,0.081185648140199,0.0725470491503746,0.0659300373202725,0.0478983790328473,0.0716268561397428,0.0766209484132462,0.0622589881772656,0.0754213087011705,0.0662635125788028,0.0616074937770208,0.0753858808728891,0.0656026607347256,0.0760120468358891,0.0824401461952281,0.0553239503950958,0.0727998326440629,0.0579267320064513,0.0698095703125,0.0829480975277911,0.0400506359369087,0.0784001913724723
TRBJ2-4,0.00712004329325877,0.0114429386617593,0.00970060566143096,0.00901407874273553,0.0112071715586604,0.010456620748137,0.00878091862788946,0.0108143193469603,0.00952886538390911,0.00813622053943674,0.0084448904625755,0.0103012440842237,0.00925865892086051,0.00867278026587048,0.00771099373760335,0.00973312063464689,0.00947697006445238,0.0083139155559698,0.00856576467804962,0.00921036720544964,0.00905086609026354,0.0101079847908745,0.00782604191156254,0.00930673834963519,0.00982581021993439,0.0113892480411483,0.00988898787368455,0.00875869150248427,0.0084305719501261,0.00810783194352506,0.0115746426051328,0.00969159993184529,0.00866811350957203,0.0099836043317982,0.0117961856959225,0.00907617601696549,0.0232150337919248,0.00556082840524689,0.00805981358628122,0.0101851004787607,0.00831348980842105,0.00803976589433176,0.0100857120578691,0.00749975426755349,0.00928980857824877,0.00757559737788116,0.00948958666491073,0.00964349386814255,0.0114641643088322,0.0105917559898528,0.00973363913465574,0.00642650408453358,0.00651282117506274,0.011787607258162,0.00710729073850831,0.00966117005802826,0.010689226229261,0.0101327384638096,0.00931192463005721,0.00791927071790553,0.00968981705190196,0.0074250657318142,0.0101787592008412,0.00888038378778793,0.0101339172463517,0.0129316843663861,0.00674751579054894,0.0110632257916817,0.00975698885437603,0.00905511522359169,0.00608515035435824,0.00775029605168148,0.011186959631577,0.0084550223786055,0.0113303835848258,0.00750182802711409,0.00808519398850855,0.00870416068558034,0.00818521478089972,0.0106699508462939,0.009037958742283,0.00731489553162172,0.0102505511481583,0.00822714141396239,0.00548828125,0.0130851332477826,0.00568547735657393,0.0100905485376588
TRBJ2-5,0.0486058792528376,0.0542119632099298,0.0161008576624046,0.0612517393795531,0.0475289765641867,0.0166115382239469,0.066233376549116,0.0586811591014104,0.0536140575805229,0.0518697353867098,0.057381705261962,0.0526539518802959,0.0495934748499034,0.0511633102803928,0.0477814178422589,0.0532465292748125,0.060466213029711,0.0724764656538354,0.0534014243642979,0.0644053905168823,0.0564332828237811,0.0553794676806084,0.0608909095980586,0.0553585277884449,0.0522514752362288,0.060500081250839,0.0574749114221675,0.0549916272146534,0.074836645574111,0.0609531256247473,0.0928661372505448,0.0572704038166638,0.0562931194422032,0.0633687354449283,0.0681844017523763,0.0602136350491614,0.0657561568775743,0.0415865599117406,0.060289847993137,0.0579010764492422,0.054188762512509,0.0577278922472541,0.0606132400837327,0.0532715179712329,0.0542701190494291,0.0535525481074223,0.0544277839444622,0.0481214245838561,0.101927656889287,0.0616189881977576,0.0691232517816036,0.055552225514206,0.0402305530086823,0.0673676214153761,0.0536296451595996,0.0510464991655566,0.0685618278846102,0.0802745803996506,0.0674228395572943,0.0545262473590119,0.0498667170144611,0.0494198071866783,0.0493375394321766,0.0642791632861829,0.033664009684411,0.0665604812364932,0.0504900319499696,0.0169124843323432,0.0567330531701078,0.0547339555822769,0.0446053002390222,0.0630261135233841,0.0568382878869634,0.0285818675710774,0.0568281977154139,0.0592043635501275,0.0477531769946286,0.0577625092068407,0.0423255512601775,0.0578073741458045,0.0570989555528178,0.0504977362841315,0.0372487649453679,0.0313879091859703,0.0291748046875,0.0422239057499343,0.0891174784719809,0.068013341705879
TRBJ2-6,0.00902650297287451,0.0140670142714877,0.010735098294698,0.0177416714414341,0.0127893225751361,0.0119335763103067,0.0124155735338244,0.0140010414603915,0.0109678776405541,0.00373308942397686,0.0110247476946964,0.010315413608411,0.0106720956468742,0.0091094659232855,0.0101624657351073,0.0144649478313357,0.0110826652294011,0.00995432938764097,0.0104339171649766,0.0107151974417886,0.0111752384347981,0.0145399239543726,0.00953549811322258,0.0155187603063092,0.0111741297334476,0.0124702374644086,0.012911414031705,0.0112739726971395,0.00961420619101986,0.0108134043564603,0.0106935819016097,0.0136786505367184,0.0106657922327835,0.0308593627619913,0.0144850864383214,0.0167124542124542,0.00941280274635852,0.0079701151103648,0.0111249851168215,0.0113438843655658,0.0118423569395047,0.00955984927443277,0.0126138878725535,0.011405261950788,0.0114244879962293,0.0101871431592303,0.00973416364081049,0.0101057092605154,0.0104748916074664,0.00959796160068146,0.0108867531784826,0.00765957082427086,0.00828630585723448,0.0125602113223183,0.00929818124639656,0.0149485298996116,0.0127409114652048,0.0129211893563189,0.013731030804549,0.0109111593753232,0.00803858006419344,0.0115617879053462,0.0487767262530669,0.0117141110209649,0.0148114521720941,0.0132757560879432,0.00894939646904598,0.0131436616816332,0.0116846336561301,0.0137329804160221,0.0132662540315426,0.0109916206944137,0.0161436046730497,0.0104724725281271,0.014243407135806,0.0117744708602597,0.00969474649548015,0.0133331182830384,0.0130358724056757,0.0134164550477914,0.0164024749154723,0.0176597958437614,0.0128172119144554,0.0130620491643479,0.00708984375,0.0137138793116777,0.00653088504447243,0.0127681321339934
TRBJ2-7,0.0594504161316907,0.136936609451973,0.126401397459945,0.0771619464680363,0.12524449227775,0.139777277347545,0.0998284578759348,0.144407284355358,0.141754392993913,0.116746788054114,0.12395148921667,0.0915634652988353,0.112543278395166,0.113761691496816,0.0898575917630541,0.143679399844787,0.148341530238721,0.0967471339360611,0.0605803509516157,0.119734773670845,0.108617820958493,0.1186463878327,0.105866742111198,0.12903687305639,0.119623780644246,0.14771402530787,0.132209788104739,0.112719053427329,0.0977481922970245,0.105606177057279,0.075537310581695,0.139723973419663,0.116301144674223,0.123192038179976,0.147531020732955,0.0874210767302873,0.127871757513745,0.128694036812603,0.104194461320527,0.136774616534016,0.139513609562592,0.11583099494909,0.122372106693218,0.108705481471774,0.132325797083821,0.127410657644322,0.12392150960435,0.109088835397295,0.0749689580067987,0.124934151781545,0.116299182221695,0.0830650271445942,0.145843287661798,0.0847965332090261,0.125095654908538,0.169511939940492,0.150903872353945,0.128711612667768,0.127985132722256,0.0928999896576688,0.143228808325306,0.150331288343558,0.203514429255754,0.128379013956988,0.111744573658936,0.156626086822053,0.135926407245776,0.119609324473595,0.158943906449845,0.129675115663516,0.194182053503397,0.103687087011916,0.117635617572875,0.101587352017252,0.0839973205471725,0.11654315132112,0.174182590630907,0.073848271264442,0.0853119668272034,0.0896646431179362,0.158412385528315,0.0647373527178651,0.108375038218303,0.102695709196604,0.0951513671875,0.109860490525003,0.176367092837715,0.0944194808478018
